original_word,renamed_word
deepflow-jattach,deepflow-jattach
deepflow_dimension_resource_ip,deepflow_dimension_resource_ip
deepflow-ctl,deepflow-ctl
支持管理10w量级deepflow-agent,支持管理10w量级deepflow-agent
K8S_MEM_LIMIT_FOR_DEEPFLOW,K8S_MEM_LIMIT_FOR_DEEPFLOW
deepflow-agent-ds,deepflow-agent-ds
DEEPFLOW_AGENT_BEACON,DEEPFLOW_AGENT_BEACON
DeepFlow预估可用天数不足30天,DeepFlow预估可用天数不足30天
支持发送Meta资源给deepflow-ingester,支持发送Meta资源给deepflow-ingester
GetDeepflowServerInstances,GetDeepflowServerInstances
deepflow-agent-ce,deepflow-agent-ce
deepflow-agent_docker,deepflow-agent_docker
deepflowStats,deepflowStats
deepflow-server-querier,deepflow-server-querier
deepflow_jattach_bin,deepflow_jattach_bin
deepflow-app相关配置,deepflow-app相关配置
K8S_NAMESPACE_FOR_DEEPFLOW,K8S_NAMESPACE_FOR_DEEPFLOW
modDeepflowSystemTables,modDeepflowSystemTables
DeepFlow-Server-Querier,DeepFlow-Server-Querier
deepflow_system__deepflow_agent_monitor__max_memory,deepflow_system__deepflow_agent_monitor__max_memory
sdeepflow-server,sdeepflow-server
DEEPFLOW_SYSTEM_DB,DEEPFLOW_SYSTEM_DB
ip查询DEEPFLOW添加的WAN监控网段,ip查询DEEPFLOW添加的WAN监控网段
deepflow_server_monitor,deepflow_server_monitor
deepflow_bpf_ctrl,deepflow_bpf_ctrl
prometheus_deepflow,prometheus_deepflow
DeepFlow-采集器列表,DeepFlow-采集器列表
deepflow,deepflow
deepflow_agent_collector,deepflow_agent_collector
deepflow_span_id,deepflow_span_id
deepflow-statistics,deepflow-statistics
删除deepflow数据库,删除deepflow数据库
所以MTU最低限定到200以确保deepflow-agent能够成功运行,所以MTU最低限定到200以确保deepflow-agent能够成功运行
DB_NAME_DEEPFLOW_SYSTEM,DB_NAME_DEEPFLOW_SYSTEM
trident-qp4w9_yunshan-deepflow,trident-qp4w9_yunshan-deepflow
deepflow-agent-ctl,deepflow-agent-ctl
deepflow_system,deepflow_system
deepflow-core,deepflow-core
deepflow-agent-cm,deepflow-agent-cm
TestCase_ParsePromQL_Success_4_DeepFlow_Metrics,TestCase_ParsePromQL_Success_4_DeepFlow_Metrics
deepflow_agent_monitor,deepflow_agent_monitor
deepflow_agent_queue,deepflow_agent_queue
deepflow-trident,deepflow-trident
deepflow_server_instances,deepflow_server_instances
WAN的CIDR都存在EPC_FROM_DEEPFLOW表中,WAN的CIDR都存在EPC_FROM_DEEPFLOW表中
k8s_mem_limit_for_deepflow,k8s_mem_limit_for_deepflow
prefixDeepFlow,prefixDeepFlow
expectedDeepFlowNativeTags,expectedDeepFlowNativeTags
handleDeepflowStats,handleDeepflowStats
会查询到DEEPFLOW添加的监控IP,会查询到DEEPFLOW添加的监控IP
promql-deepflow-metrics-query,promql-deepflow-metrics-query
deepflow_agent_quadruple_generator,deepflow_agent_quadruple_generator
deepflow-servr,deepflow-servr
注意当查询外网时必须给epc参数传递EPC_FROM_DEEPFLOW值,注意当查询外网时必须给epc参数传递EPC_FROM_DEEPFLOW值
DeepFlow停止服务,DeepFlow停止服务
deepflow_agent_log_counter,deepflow_agent_log_counter
allDeepFlowNativeTags,allDeepFlowNativeTags
deepflow_server,deepflow_server
DeepFlow-agent,DeepFlow-agent
deepflowio,deepflowio
DeepFlow授权不足30天,DeepFlow授权不足30天
deepflow_server_controller_genesis_k8sinfo_delay,deepflow_server_controller_genesis_k8sinfo_delay
deepflow-server,deepflow-server
K8S_POD_IP_FOR_DEEPFLOW,K8S_POD_IP_FOR_DEEPFLOW
deepflow_agent_ebpf_collector,deepflow_agent_ebpf_collector
deepflow-wasm-go-sdk,deepflow-wasm-go-sdk
卸载deepflow-agent的本地计算压力和传输压力,卸载deepflow-agent的本地计算压力和传输压力
deepflow_agent,deepflow_agent
DeepFlow授权过期,DeepFlow授权过期
slave-deepflow-ck,slave-deepflow-ck
deepflow-agent-conf,deepflow-agent-conf
DEEPFLOW_SERVER_RUNNING_MODE,DEEPFLOW_SERVER_RUNNING_MODE
deepflow_parent_span_id,deepflow_parent_span_id
getDeepflowSystemLocalTables,getDeepflowSystemLocalTables
deepflow_agent_flow_map,deepflow_agent_flow_map
DEEPFLOW_TOOL,DEEPFLOW_TOOL
K8S_POD_NAME_FOR_DEEPFLOW,K8S_POD_NAME_FOR_DEEPFLOW
deepflow_system_log__0_,deepflow_system_log__0_
K8S_NODE_NAME_FOR_DEEPFLOW,K8S_NODE_NAME_FOR_DEEPFLOW
deepflowcloud,deepflowcloud
deepflow_agent_l7_session_aggr,deepflow_agent_l7_session_aggr
DeepFlow-Agent,DeepFlow-Agent
DeepFlow-Server-Ingester,DeepFlow-Server-Ingester
DATA_SOURCE_DEEPFLOW_SYSTEM_INTERVAL,DATA_SOURCE_DEEPFLOW_SYSTEM_INTERVAL
DEEPFLOW_SYSTEM_TABLE,DEEPFLOW_SYSTEM_TABLE
deepflow-agent-kvdfq,deepflow-agent-kvdfq
DeepFlowPromRequest,DeepFlowPromRequest
parseDeepFlowTag,parseDeepFlowTag
DEEPFLOW_STATSD_PREFIX,DEEPFLOW_STATSD_PREFIX
到达DeepFlow分析器下一跳MAC,到达DeepFlow分析器下一跳MAC
deepflowDeploymentUUID,deepflowDeploymentUUID
deepflow_server_ingester_decoder,deepflow_server_ingester_decoder
