original_word,renamed_word
DATA_SOURCE_NEBULAIQ_TELEMETRY_SYSTEM_INTERVAL,DATA_SOURCE_NEBULAIQ_TELEMETRY_SYSTEM_INTERVAL
nebulaiq-ebpfctl,nebulaiq-ebpfctl
NebulaiqTelemetryApp,NebulaiqTelemetryApp
K8S_MEM_LIMIT_FOR_NEBULAIQ_TELEMETRY,K8S_MEM_LIMIT_FOR_NEBULAIQ_TELEMETRY
NEBULAIQ_TELEMETRY_STATSD_PREFIX,NEBULAIQ_TELEMETRY_STATSD_PREFIX
nebulaiq-telemetry-ebpf,nebulaiq-telemetry-ebpf
nebulaiq-agent_rCURRENT,nebulaiq-agent_rCURRENT
NEBULAIQ_TELEMETRY_SYSTEM,NEBULAIQ_TELEMETRY_SYSTEM
nebulaiq-telemetry-agent-view-binding,nebulaiq-telemetry-agent-view-binding
K8S_POD_NAME_FOR_NEBULAIQ_TELEMETRY,K8S_POD_NAME_FOR_NEBULAIQ_TELEMETRY
NebulaIQ-Telemetry-Server-Controller,NebulaIQ-Telemetry-Server-Controller
nebulaiq_telemetry_agent,nebulaiq_telemetry_agent
NebulaiqTelemetryServerInstances,NebulaiqTelemetryServerInstances
nebulaiq_telemetry_agent_flow_map,nebulaiq_telemetry_agent_flow_map
nebulaiq-telemetry-agent-ds,nebulaiq-telemetry-agent-ds
EPC_FROM_NEBULAIQ_TELEMETRY,EPC_FROM_NEBULAIQ_TELEMETRY
nebulaiq-telemetry-server-querier,nebulaiq-telemetry-server-querier
nebulaiq-telemetry-agent-windows,nebulaiq-telemetry-agent-windows
k8s_mem_limit_for_nebulaiq_telemetry,k8s_mem_limit_for_nebulaiq_telemetry
nebulaiq_telemetry_agent_ebpf_collector,nebulaiq_telemetry_agent_ebpf_collector
nebulaiq_telemetry_system,nebulaiq_telemetry_system
nebulaiq_telemetry_jattach_bin,nebulaiq_telemetry_jattach_bin
appendNebulaiqTelemetryPrefix,appendNebulaiqTelemetryPrefix
nebulaiq-telemetry-statistics,nebulaiq-telemetry-statistics
nebulaiq-telemetry-agents,nebulaiq-telemetry-agents
NEBULAIQ_TELEMETRY_SYSTEM_DB,NEBULAIQ_TELEMETRY_SYSTEM_DB
nebulaiqTelemetrySystem,nebulaiqTelemetrySystem
NebulaIQ,NebulaIQ
nebulaiq-telemetry-agent-config,nebulaiq-telemetry-agent-config
NebulaIQTelemetryServerInstanceInfo,NebulaIQTelemetryServerInstanceInfo
snebulaiq-telemetry-server,snebulaiq-telemetry-server
nebulaiqdemo,nebulaiqdemo
nebulaiq-agent_,nebulaiq-agent_
K8S_POD_IP_FOR_NEBULAIQ_TELEMETRY,K8S_POD_IP_FOR_NEBULAIQ_TELEMETRY
nebulaiq_telemetry_span_id,nebulaiq_telemetry_span_id
nebulaiq-telemetry-agent-standalone,nebulaiq-telemetry-agent-standalone
PortInNebulaiqTelemetryExporter,PortInNebulaiqTelemetryExporter
nebulaiq_telemetry_parent_span_id,nebulaiq_telemetry_parent_span_id
